iter	Passed	Remaining
451	1073	10799
452	1075	10792
453	1077	10784
454	1082	10813
455	1084	10803
456	1088	10816
457	1089	10809
458	1091	10799
459	1093	10795
460	1096	10796
461	1098	10794
462	1100	10786
463	1104	10794
464	1106	10787
465	1107	10775
466	1110	10778
467	1113	10781
468	1115	10772
469	1118	10782
470	1121	10782
471	1123	10773
472	1128	10797
473	1131	10801
474	1136	10822
475	1140	10837
476	1142	10833
477	1163	11003
478	1166	11009
479	1168	11000
480	1170	10993
481	1171	10984
482	1174	10985
483	1178	10996
484	1180	10985
485	1182	10978
486	1184	10978
487	1186	10969
488	1188	10961
489	1189	10951
490	1194	10973
491	1198	10977
492	1200	10977
493	1202	10971
494	1204	10962
495	1206	10952
496	1209	10961
497	1211	10950
498	1212	10939
499	1215	10936
500	1216	10928
501	1218	10921
502	1220	10915
503	1225	10936
504	1232	10969
505	1234	10961
506	1236	10956
507	1238	10947
508	1240	10940
509	1252	11029
510	1254	11021
511	1256	11012
512	1270	11115
513	1272	11104
514	1284	11183
515	1287	11188
516	1299	11269
517	1302	11274
518	1314	11351
519	1316	11344
520	1327	11413
521	1330	11417
522	1334	11425
523	1336	11416
524	1342	11439
525	1344	11438
526	1347	11439
527	1352	11451
528	1353	11441
529	1357	11451
530	1360	11447
531	1368	11489
532	1370	11482
533	1372	11482
534	1389	11599
535	1394	11613
536	1397	11617
537	1411	11703
538	1413	11697
539	1427	11789
540	1429	11778
541	1438	11834
542	1441	11829
543	1443	11820
544	1445	11817
545	1447	11806
546	1449	11796
547	1450	11784
548	1452	11780
549	1454	11767
550	1455	11755
551	1457	11744
552	1458	11732
553	1460	11721
554	1462	11716
555	1464	11706
556	1466	11695
557	1467	11684
558	1469	11673
559	1470	11662
560	1473	11662
561	1475	11651
562	1477	11646
563	1479	11635
564	1480	11623
565	1481	11609
566	1484	11606
567	1486	11595
568	1487	11583
569	1489	11573
570	1490	11562
571	1492	11550
572	1493	11541
573	1495	11529
574	1496	11517
575	1498	11505
576	1499	11493
577	1500	11481
578	1502	11470
579	1503	11458
580	1505	11447
581	1506	11436
582	1508	11425
583	1510	11420
584	1511	11407
585	1513	11401
