Região,Ano,Mês,Energia
Brasil,2020,Fevereiro,40969701.86999999
Norte,2020,Fevereiro,2836046.67
Nordeste,2020,Fevereiro,6813766.969999999
Sudeste,2020,Fevereiro,19994440.4
Sul,2020,Fevereiro,8120195.39
Centro-Oeste,2020,Fevereiro,3205252.4399999995
Brasil,2019,Fevereiro,41170919.40999998
Norte,2019,Fevereiro,2421378.87
Nordeste,2019,Fevereiro,6827893.670000001
Sudeste,2019,Fevereiro,20584521.409999996
Sul,2019,Fevereiro,8131096.279999998
Centro-Oeste,2019,Fevereiro,3206029.1799999997
Brasil,2018,Fevereiro,39174100.749999985
Norte,2018,Fevereiro,2650538.7600000002
Nordeste,2018,Fevereiro,6357334.14
Sudeste,2018,Fevereiro,19689599.590000004
Sul,2018,Fevereiro,7571526.529999999
Centro-Oeste,2018,Fevereiro,2905101.7300000004
Brasil,2017,Fevereiro,38847236.49
Norte,2017,Fevereiro,2556160
Nordeste,2017,Fevereiro,6348751.7700000005
Sudeste,2017,Fevereiro,19583907.14
Sul,2017,Fevereiro,7520745.57
Centro-Oeste,2017,Fevereiro,2837672.01
Brasil,2016,Fevereiro,38733769.57
Norte,2016,Fevereiro,2708798.6
Nordeste,2016,Fevereiro,6284269.91
Sudeste,2016,Fevereiro,19495060.04
Sul,2016,Fevereiro,7406977.5200000005
Centro-Oeste,2016,Fevereiro,2838663.5
Brasil,2015,Fevereiro,40723219.36
Norte,2015,Fevereiro,2565453
Nordeste,2015,Fevereiro,6693234.81
Sudeste,2015,Fevereiro,20869826.87
Sul,2015,Fevereiro,7665269.3
Centro-Oeste,2015,Fevereiro,2929435.38
Brasil,2014,Fevereiro,41653487
Norte,2014,Fevereiro,2476973
Nordeste,2014,Fevereiro,6620899
Sudeste,2014,Fevereiro,21763013
Sul,2014,Fevereiro,8019594
Centro-Oeste,2014,Fevereiro,2773008
Brasil,2013,Fevereiro,38001415.72
Norte,2013,Fevereiro,2266205.7199999997
Nordeste,2013,Fevereiro,6452494
Sudeste,2013,Fevereiro,19775484
Sul,2013,Fevereiro,6948499
Centro-Oeste,2013,Fevereiro,2558733
Brasil,2012,Fevereiro,36888068.019999996
